SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.1095618,55.0,0.7538168,-129.0,0.76848876,-144.0,0.8836292,-59.0,1.2164751,113.0,0.8954545,-69.0,0.6876268,-154.0,0.4748322,-313.0,0.64646465,-210.0,0
1.1095618,55.0,0.75,-131.0,0.76848876,-144.0,0.8836292,-59.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.4748322,-313.0,0.6447812,-211.0,0
1.1015936,51.0,0.7480916,-132.0,0.76688105,-145.0,0.877712,-62.0,1.1992338,104.0,0.8924242,-71.0,0.6876268,-154.0,0.4748322,-313.0,0.6447812,-211.0,0
1.1015936,51.0,0.75,-131.0,0.76688105,-145.0,0.877712,-62.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.47986576,-310.0,0.64646465,-210.0,0
1.1015936,51.0,0.75,-131.0,0.76688105,-145.0,0.877712,-62.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.48489934,-307.0,0.64646465,-210.0,0
1.1015936,51.0,0.7519084,-130.0,0.76688105,-145.0,0.877712,-62.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.49161074,-303.0,0.6481481,-209.0,0
1.1055777,53.0,0.7519084,-130.0,0.76848876,-144.0,0.877712,-62.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.49161074,-303.0,0.6481481,-209.0,0
1.1055777,53.0,0.75,-131.0,0.76688105,-145.0,0.8836292,-59.0,1.1992338,104.0,0.8954545,-69.0,0.6916836,-152.0,0.47986576,-310.0,0.64646465,-210.0,0
1.1055777,53.0,0.7480916,-132.0,0.75884247,-150.0,0.8717949,-65.0,1.1992338,104.0,0.8939394,-70.0,0.6896552,-153.0,0.47986576,-310.0,0.6447812,-211.0,0
1.1015936,51.0,0.7480916,-132.0,0.75723475,-151.0,0.8717949,-65.0,1.197318,103.0,0.8939394,-70.0,0.6855984,-155.0,0.47986576,-310.0,0.64309764,-212.0,0
1.0956175,48.0,0.7480916,-132.0,0.75723475,-151.0,0.8717949,-65.0,1.197318,103.0,0.8939394,-70.0,0.6855984,-155.0,0.47651008,-312.0,0.64141417,-213.0,0
1.0956175,48.0,0.7461832,-133.0,0.7508039,-155.0,0.8717949,-65.0,1.197318,103.0,0.8939394,-70.0,0.68356997,-156.0,0.47651008,-312.0,0.63804716,-215.0,0
1.1015936,51.0,0.7480916,-132.0,0.75723475,-151.0,0.8717949,-65.0,1.1992338,104.0,0.8954545,-69.0,0.68356997,-156.0,0.47651008,-312.0,0.64141417,-213.0,0
1.1055777,53.0,0.7480916,-132.0,0.75884247,-150.0,0.8836292,-59.0,1.2068965,108.0,0.8969697,-68.0,0.6855984,-155.0,0.47986576,-310.0,0.64309764,-212.0,0
1.1095618,55.0,0.7480916,-132.0,0.76688105,-145.0,0.90138066,-50.0,1.2126436,111.0,0.8969697,-68.0,0.6855984,-155.0,0.47986576,-310.0,0.64309764,-212.0,0
1.1095618,55.0,0.7480916,-132.0,0.76688105,-145.0,0.90335304,-49.0,1.2126436,111.0,0.8984848,-67.0,0.6855984,-155.0,0.47986576,-310.0,0.64309764,-212.0,0
1.1135458,57.0,0.7480916,-132.0,0.76688105,-145.0,0.90138066,-50.0,1.2145594,112.0,0.8984848,-67.0,0.6876268,-154.0,0.47986576,-310.0,0.6447812,-211.0,0
1.1135458,57.0,0.7480916,-132.0,0.76688105,-145.0,0.90138066,-50.0,1.2126436,111.0,0.8984848,-67.0,0.68356997,-156.0,0.47986576,-310.0,0.64141417,-213.0,0
1.1135458,57.0,0.7480916,-132.0,0.76688105,-145.0,0.90138066,-50.0,1.2126436,111.0,0.8969697,-68.0,0.68356997,-156.0,0.47315437,-314.0,0.64141417,-213.0,0
1.1095618,55.0,0.7480916,-132.0,0.76527333,-146.0,0.90138066,-50.0,1.2126436,111.0,0.8969697,-68.0,0.68356997,-156.0,0.4681208,-317.0,0.63804716,-215.0,0
1.1095618,55.0,0.7461832,-133.0,0.7620579,-148.0,0.90138066,-50.0,1.2126436,111.0,0.8969697,-68.0,0.68356997,-156.0,0.46644294,-318.0,0.6363636,-216.0,0
1.1095618,55.0,0.7480916,-132.0,0.7620579,-148.0,0.90729785,-47.0,1.2126436,111.0,0.8969697,-68.0,0.68356997,-156.0,0.4681208,-317.0,0.63804716,-215.0,0
1.1095618,55.0,0.7480916,-132.0,0.7620579,-148.0,0.90729785,-47.0,1.2145594,112.0,0.8984848,-67.0,0.68356997,-156.0,0.47315437,-314.0,0.63804716,-215.0,0
1.1095618,55.0,0.7480916,-132.0,0.7620579,-148.0,0.90729785,-47.0,1.2145594,112.0,0.8984848,-67.0,0.68356997,-156.0,0.47651008,-312.0,0.63804716,-215.0,0
1.1095618,55.0,0.7480916,-132.0,0.7620579,-148.0,0.90729785,-47.0,1.2145594,112.0,0.8984848,-67.0,0.68356997,-156.0,0.47986576,-310.0,0.63804716,-215.0,0
1.1035856,52.0,0.7480916,-132.0,0.7524116,-154.0,0.88954633,-56.0,1.2107279,110.0,0.9,-66.0,0.6876268,-154.0,0.48154363,-309.0,0.6363636,-216.0,0
1.1035856,52.0,0.7366412,-138.0,0.7475884,-157.0,0.88954633,-56.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.48154363,-309.0,0.63131315,-219.0,0
1.0856574,43.0,0.7366412,-138.0,0.74437296,-159.0,0.8698225,-66.0,1.1992338,104.0,0.8939394,-70.0,0.6876268,-154.0,0.48154363,-309.0,0.6296296,-220.0,0
1.0836654,42.0,0.7366412,-138.0,0.74276525,-160.0,0.8678501,-67.0,1.197318,103.0,0.8909091,-72.0,0.6876268,-154.0,0.48154363,-309.0,0.6296296,-220.0,0
1.0816733,41.0,0.7366412,-138.0,0.7395498,-162.0,0.8658777,-68.0,1.197318,103.0,0.8909091,-72.0,0.6876268,-154.0,0.47651008,-312.0,0.62794614,-221.0,0
1.0836654,42.0,0.7366412,-138.0,0.7395498,-162.0,0.8678501,-67.0,1.197318,103.0,0.8909091,-72.0,0.6896552,-153.0,0.48154363,-309.0,0.62794614,-221.0,0
1.0836654,42.0,0.7366412,-138.0,0.7395498,-162.0,0.8678501,-67.0,1.1992338,104.0,0.8909091,-72.0,0.6896552,-153.0,0.48154363,-309.0,0.62794614,-221.0,0
1.0836654,42.0,0.7366412,-138.0,0.74276525,-160.0,0.8678501,-67.0,1.1992338,104.0,0.8924242,-71.0,0.6896552,-153.0,0.4899329,-304.0,0.6296296,-220.0,0
1.0836654,42.0,0.7366412,-138.0,0.74276525,-160.0,0.8678501,-67.0,1.1992338,104.0,0.8924242,-71.0,0.6896552,-153.0,0.49496645,-301.0,0.6296296,-220.0,0
