ID,SG0p,SG0m,SG1p,SG1m,SG2p,SG2m,SG3p,SG3m,SG4p,SG4m,SG5p,SG5m,SG6p,SG6m,SG7p,SG7m,SG8p,SG8m
0,318,0,177,0,0,0,108,0,282,0,851,0,0,233,245,0,0,2312
2,138,0,92,0,0,0,0,606,0,0,227,0,224,0,27,0,0,2232
4,115,0,203,0,0,0,0,0,0,516,0,536,0,0,0,0,0,981
6,754,0,685,0,0,0,496,0,0,0,268,149,0,1527,270,0,0,1594
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932
0,187,0,109,0,0,0,44,0,181,0,574,0,0,0,186,0,0,2606
2,187,0,75,0,0,0,0,400,33,0,391,0,91,0,35,0,0,2679
4,0,0,60,0,0,0,0,420,68,925,0,1129,0,0,0,165,27,1367
6,0,0,0,0,0,0,0,0,0,0,0,250,0,566,87,0,0,2129
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686
0,446,0,142,0,20,0,0,42,154,0,905,0,0,0,196,0,0,2927
2,0,0,0,0,0,0,0,713,0,238,350,0,0,0,0,0,0,3602
4,0,274,96,216,0,0,0,0,0,0,0,551,0,0,0,105,0,2663
6,264,0,190,0,94,0,40,0,0,0,0,0,0,0,109,0,0,2946
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357
0,119,0,32,0,0,0,0,0,59,0,178,0,0,0,110,0,0,2795
2,0,0,40,0,0,0,0,483,0,0,160,0,0,0,30,0,0,3043
4,96,0,80,84,0,0,0,363,0,1063,0,1028,0,0,0,142,0,3158
6,318,0,351,0,0,0,249,0,0,0,144,207,0,408,202,0,0,3365
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662
0,137,0,64,0,0,0,0,0,0,0,407,0,0,0,101,0,0,3283
2,146,0,26,0,0,0,0,461,0,100,70,0,62,0,0,0,0,2422
4,0,0,145,0,0,0,0,418,0,1074,0,730,0,0,0,147,0,2352
6,0,0,0,0,0,0,0,0,0,0,33,0,0,763,82,0,0,2525
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2117
0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,3809
2,0,0,0,0,0,22,0,254,0,0,132,0,0,0,0,0,0,3735
4,154,0,178,0,0,0,0,0,0,0,0,292,0,0,0,0,0,3270
6,0,0,0,0,66,0,136,0,0,0,71,0,0,820,104,0,0,2809
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547
0,152,0,143,0,0,0,79,0,0,0,471,0,0,100,387,0,0,4604
2,0,0,0,0,0,0,0,708,0,0,144,0,0,0,103,0,0,4242
4,159,0,169,0,0,0,0,0,0,92,0,282,0,0,0,0,0,3200
6,168,0,154,0,0,0,98,0,0,0,0,82,0,0,105,0,0,3150
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388
0,180,0,0,0,0,0,0,0,44,0,612,0,0,0,168,0,0,3342
2,0,0,0,0,0,0,0,281,0,22,66,0,0,0,0,0,0,3444
4,152,0,132,0,0,0,0,265,0,629,0,386,0,0,0,0,0,3753
6,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,3497
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821
0,219,0,108,0,0,0,26,0,68,0,672,0,0,0,220,0,0,4562
2,82,0,0,0,0,0,0,0,0,0,60,0,100,0,0,0,0,3991
4,168,0,185,0,0,0,108,0,130,0,0,0,0,0,0,0,0,3832
6,78,0,92,0,60,0,156,0,0,0,54,0,0,352,128,0,0,3827
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2663
