SG_D0,SG_D1,SG_D2,SG_D3,SG_D4,SG_D5,SG_D6,SG_D7,SG_D8,ID
17.0,1.0,-123.0,38.0,6.0,-37.0,19.0,-17.0,-35.0,40
17.0,1.0,-123.0,39.0,7.0,-34.0,19.0,-16.0,-33.0,40
19.0,2.0,-122.0,39.0,7.0,-31.0,20.0,-15.0,-32.0,40
19.0,3.0,-121.0,39.0,7.0,-28.0,21.0,-12.0,-31.0,40
19.0,5.0,-121.0,39.0,10.0,-28.0,22.0,-12.0,-31.0,40
20.0,7.0,-120.0,35.0,7.0,-27.0,21.0,-12.0,-31.0,40
19.0,7.0,-120.0,35.0,7.0,-27.0,21.0,-12.0,-33.0,40
19.0,7.0,-120.0,35.0,7.0,-27.0,21.0,-14.0,-33.0,40
19.0,7.0,-120.0,35.0,6.0,-27.0,21.0,-14.0,-33.0,40
19.0,7.0,-120.0,35.0,6.0,-28.0,21.0,-14.0,-33.0,40
19.0,8.0,-120.0,38.0,6.0,-27.0,21.0,-12.0,-33.0,40
20.0,10.0,-116.0,39.0,7.0,-27.0,25.0,-12.0,-32.0,40
21.0,12.0,-116.0,40.0,7.0,-24.0,25.0,-12.0,-32.0,40
22.0,13.0,-115.0,40.0,8.0,-24.0,27.0,-8.0,-32.0,40
21.0,14.0,-116.0,43.0,11.0,-26.0,25.0,-9.0,-31.0,40
21.0,14.0,-121.0,43.0,8.0,-26.0,21.0,-9.0,-33.0,40
21.0,14.0,-121.0,43.0,8.0,-26.0,20.0,-9.0,-33.0,40
21.0,14.0,-121.0,43.0,8.0,-27.0,20.0,-9.0,-35.0,40
21.0,14.0,-125.0,43.0,8.0,-27.0,20.0,-9.0,-35.0,40
21.0,16.0,-125.0,43.0,8.0,-26.0,21.0,-6.0,-34.0,40
23.0,16.0,-121.0,43.0,8.0,-26.0,21.0,-5.0,-34.0,40
23.0,16.0,-121.0,43.0,8.0,-26.0,21.0,-5.0,-34.0,40
23.0,16.0,-121.0,43.0,8.0,-26.0,22.0,-5.0,-33.0,40
21.0,16.0,-124.0,41.0,7.0,-25.0,23.0,-8.0,-32.0,40
21.0,12.0,-124.0,40.0,4.0,-25.0,23.0,-8.0,-32.0,40
20.0,12.0,-124.0,37.0,4.0,-25.0,23.0,-9.0,-32.0,40
20.0,12.0,-124.0,37.0,4.0,-25.0,23.0,-9.0,-32.0,40
20.0,12.0,-124.0,35.0,4.0,-25.0,23.0,-11.0,-32.0,40
20.0,12.0,-124.0,36.0,4.0,-25.0,24.0,-9.0,-32.0,40
20.0,13.0,-122.0,37.0,5.0,-24.0,25.0,-8.0,-32.0,40
20.0,15.0,-121.0,37.0,6.0,-24.0,26.0,-7.0,-32.0,40
21.0,16.0,-121.0,37.0,6.0,-22.0,26.0,-7.0,-32.0,40
21.0,18.0,-119.0,38.0,6.0,-22.0,26.0,-6.0,-31.0,40
21.0,18.0,-121.0,38.0,5.0,-24.0,26.0,-6.0,-31.0,40
21.0,15.0,-121.0,37.0,5.0,-24.0,26.0,-6.0,-31.0,40
21.0,15.0,-124.0,37.0,5.0,-24.0,26.0,-6.0,-31.0,40
21.0,15.0,-124.0,36.0,5.0,-24.0,26.0,-6.0,-31.0,40
23.0,18.0,-123.0,36.0,6.0,-22.0,26.0,-6.0,-31.0,40
23.0,18.0,-122.0,36.0,6.0,-22.0,27.0,-6.0,-30.0,40
25.0,18.0,-121.0,36.0,6.0,-22.0,28.0,-6.0,-28.0,40
25.0,18.0,-121.0,36.0,6.0,-21.0,28.0,-6.0,-28.0,40
22.0,16.0,-121.0,32.0,6.0,-22.0,28.0,-7.0,-25.0,40
22.0,15.0,-121.0,32.0,4.0,-25.0,26.0,-8.0,-25.0,40
20.0,15.0,-123.0,31.0,3.0,-25.0,26.0,-11.0,-25.0,40
20.0,13.0,-124.0,30.0,3.0,-25.0,26.0,-11.0,-28.0,40
20.0,12.0,-124.0,30.0,3.0,-25.0,26.0,-12.0,-28.0,40
20.0,12.0,-123.0,31.0,3.0,-25.0,26.0,-11.0,-25.0,40
20.0,12.0,-123.0,32.0,3.0,-25.0,26.0,-11.0,-25.0,40
21.0,13.0,-124.0,34.0,3.0,-25.0,24.0,-10.0,-26.0,40
21.0,13.0,-124.0,34.0,3.0,-26.0,24.0,-10.0,-26.0,40
39.0,64.0,-128.0,68.0,26.0,13.0,44.0,31.0,-14.0,80
39.0,65.0,-128.0,68.0,26.0,13.0,44.0,33.0,-13.0,80
40.0,66.0,-128.0,68.0,26.0,15.0,46.0,33.0,-12.0,80
40.0,67.0,-126.0,68.0,26.0,16.0,47.0,33.0,-5.0,80
36.0,64.0,-126.0,61.0,22.0,11.0,47.0,29.0,-10.0,80
34.0,61.0,-127.0,54.0,16.0,9.0,49.0,24.0,-8.0,80
34.0,61.0,-127.0,54.0,16.0,9.0,49.0,24.0,-8.0,80
33.0,61.0,-127.0,53.0,16.0,9.0,49.0,23.0,-8.0,80
33.0,61.0,-127.0,53.0,16.0,9.0,48.0,23.0,-10.0,80
33.0,61.0,-127.0,53.0,15.0,8.0,48.0,23.0,-10.0,80
33.0,61.0,-127.0,53.0,15.0,8.0,47.0,23.0,-10.0,80
33.0,60.0,-127.0,53.0,15.0,8.0,48.0,23.0,-13.0,80
33.0,60.0,-127.0,53.0,16.0,8.0,49.0,23.0,-10.0,80
33.0,61.0,-127.0,53.0,16.0,8.0,49.0,23.0,-10.0,80
33.0,61.0,-129.0,55.0,16.0,8.0,50.0,25.0,-10.0,80
33.0,60.0,-129.0,55.0,16.0,7.0,50.0,25.0,-13.0,80
33.0,60.0,-129.0,53.0,15.0,7.0,49.0,25.0,-14.0,80
33.0,60.0,-131.0,53.0,15.0,6.0,48.0,25.0,-17.0,80
33.0,60.0,-131.0,53.0,15.0,5.0,47.0,25.0,-20.0,80
34.0,61.0,-131.0,55.0,15.0,5.0,47.0,26.0,-20.0,80
35.0,61.0,-131.0,57.0,16.0,6.0,47.0,27.0,-20.0,80
31.0,59.0,-134.0,50.0,12.0,7.0,49.0,20.0,-13.0,80
29.0,57.0,-136.0,49.0,11.0,6.0,49.0,15.0,-13.0,80
28.0,56.0,-136.0,48.0,7.0,5.0,49.0,10.0,-13.0,80
29.0,56.0,-136.0,49.0,4.0,-4.0,45.0,10.0,-14.0,80
29.0,56.0,-136.0,47.0,4.0,-4.0,45.0,10.0,-15.0,80
29.0,55.0,-136.0,46.0,3.0,-4.0,45.0,10.0,-15.0,80
29.0,55.0,-135.0,46.0,3.0,-3.0,45.0,10.0,-14.0,80
29.0,55.0,-134.0,46.0,3.0,-1.0,49.0,10.0,-13.0,80
29.0,56.0,-132.0,46.0,3.0,-1.0,50.0,10.0,-11.0,80
29.0,63.0,-131.0,50.0,4.0,2.0,50.0,18.0,-11.0,80
33.0,65.0,-128.0,51.0,4.0,2.0,50.0,20.0,-11.0,80
29.0,61.0,-131.0,47.0,3.0,2.0,45.0,14.0,-11.0,80
29.0,60.0,-131.0,47.0,2.0,0.0,45.0,12.0,-11.0,80
33.0,61.0,-137.0,47.0,4.0,-4.0,43.0,14.0,-19.0,80
33.0,61.0,-137.0,47.0,4.0,-3.0,45.0,14.0,-19.0,80
43.0,78.0,-117.0,56.0,10.0,7.0,44.0,23.0,-24.0,80
43.0,78.0,-117.0,56.0,10.0,7.0,44.0,23.0,-24.0,80
34.0,69.0,-127.0,49.0,9.0,7.0,44.0,16.0,-24.0,80
38.0,71.0,-126.0,52.0,9.0,8.0,45.0,16.0,-17.0,80
38.0,74.0,-124.0,52.0,9.0,9.0,46.0,19.0,-17.0,80
38.0,74.0,-123.0,52.0,9.0,9.0,46.0,19.0,-17.0,80
32.0,67.0,-129.0,48.0,5.0,7.0,45.0,16.0,-17.0,80
33.0,69.0,-129.0,48.0,6.0,7.0,45.0,16.0,-17.0,80
34.0,69.0,-127.0,48.0,6.0,7.0,46.0,17.0,-16.0,80
34.0,70.0,-127.0,51.0,6.0,8.0,46.0,20.0,-16.0,80
35.0,70.0,-127.0,51.0,6.0,8.0,46.0,20.0,-16.0,80
34.0,72.0,-128.0,52.0,5.0,7.0,46.0,22.0,-17.0,80
34.0,72.0,-129.0,48.0,5.0,5.0,44.0,22.0,-17.0,80
34.0,72.0,-131.0,48.0,5.0,5.0,43.0,22.0,-24.0,80
34.0,98.0,-106.0,26.0,-1.0,15.0,45.0,19.0,-43.0,120
34.0,103.0,-106.0,27.0,-1.0,17.0,45.0,19.0,-41.0,120
34.0,103.0,-106.0,28.0,2.0,18.0,45.0,19.0,-41.0,120
34.0,103.0,-106.0,28.0,2.0,19.0,45.0,19.0,-40.0,120
33.0,98.0,-114.0,29.0,-1.0,21.0,44.0,14.0,-39.0,120
29.0,96.0,-115.0,29.0,-6.0,18.0,44.0,11.0,-39.0,120
