SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.6894977,-204.0,0.8911223,-65.0,0.6438356,-208.0,0.9352381,-34.0,1.0448833,25.0,0.88,-84.0,1.1640058,113.0,0.8944,-66.0,0.8982387,-52.0,p15_r-15
0.6910198,-203.0,0.8927973,-64.0,0.6438356,-208.0,0.93142855,-36.0,1.0412927,23.0,0.87714285,-86.0,1.1625544,112.0,0.8944,-66.0,0.9001957,-51.0,p15_r-15
0.6910198,-203.0,0.8927973,-64.0,0.6438356,-208.0,0.93142855,-36.0,1.0394973,22.0,0.8757143,-87.0,1.1582003,109.0,0.8944,-66.0,0.8982387,-52.0,p15_r-15
0.6910198,-203.0,0.8927973,-64.0,0.6421233,-209.0,0.9295238,-37.0,1.037702,21.0,0.8642857,-95.0,1.1538461,106.0,0.8944,-66.0,0.8982387,-52.0,p15_r-15
0.6910198,-203.0,0.8927973,-64.0,0.64041096,-210.0,0.9295238,-37.0,1.037702,21.0,0.8642857,-95.0,1.149492,103.0,0.8944,-66.0,0.8962818,-53.0,p15_r-15
0.6910198,-203.0,0.8927973,-64.0,0.64041096,-210.0,0.9295238,-37.0,1.037702,21.0,0.8642857,-95.0,1.149492,103.0,0.8944,-66.0,0.8962818,-53.0,p15_r-15
0.6940639,-201.0,0.89447236,-63.0,0.64041096,-210.0,0.9295238,-37.0,1.037702,21.0,0.8642857,-95.0,1.149492,103.0,0.8976,-64.0,0.8962818,-53.0,p15_r-15
0.695586,-200.0,0.9045226,-57.0,0.64041096,-210.0,0.9295238,-37.0,1.037702,21.0,0.8642857,-95.0,1.149492,103.0,0.9008,-62.0,0.8962818,-53.0,p15_r-15
0.695586,-200.0,0.9045226,-57.0,0.64041096,-210.0,0.9295238,-37.0,1.0394973,22.0,0.8642857,-95.0,1.149492,103.0,0.9008,-62.0,0.8982387,-52.0,p15_r-15
0.695586,-200.0,0.9045226,-57.0,0.64041096,-210.0,0.93142855,-36.0,1.0412927,23.0,0.86714286,-93.0,1.149492,103.0,0.9008,-62.0,0.8982387,-52.0,p15_r-15
0.69254184,-202.0,0.9011725,-59.0,0.64041096,-210.0,0.93142855,-36.0,1.0412927,23.0,0.87,-91.0,1.1538461,106.0,0.9024,-61.0,0.8982387,-52.0,p15_r-15
0.6910198,-203.0,0.8994975,-60.0,0.64041096,-210.0,0.93142855,-36.0,1.0412927,23.0,0.87,-91.0,1.1538461,106.0,0.896,-65.0,0.8982387,-52.0,p15_r-15
0.68797565,-205.0,0.89614743,-62.0,0.63869864,-211.0,0.9295238,-37.0,1.043088,24.0,0.8757143,-87.0,1.1625544,112.0,0.8928,-67.0,0.8982387,-52.0,p15_r-15
0.6849315,-207.0,0.8877722,-67.0,0.63869864,-211.0,0.9295238,-37.0,1.0448833,25.0,0.8757143,-87.0,1.1640058,113.0,0.888,-70.0,0.9001957,-51.0,p15_r-15
0.68340945,-208.0,0.8877722,-67.0,0.63869864,-211.0,0.92761904,-38.0,1.0448833,25.0,0.8757143,-87.0,1.161103,111.0,0.888,-70.0,0.9001957,-51.0,p15_r-15
0.68340945,-208.0,0.88609713,-68.0,0.6369863,-212.0,0.92761904,-38.0,1.0394973,22.0,0.8757143,-87.0,1.1596516,110.0,0.888,-70.0,0.9001957,-51.0,p15_r-15
0.68340945,-208.0,0.88609713,-68.0,0.6369863,-212.0,0.92761904,-38.0,1.037702,21.0,0.87285715,-89.0,1.1582003,109.0,0.888,-70.0,0.8982387,-52.0,p15_r-15
0.68340945,-208.0,0.88609713,-68.0,0.6369863,-212.0,0.92761904,-38.0,1.037702,21.0,0.8685714,-92.0,1.1567489,108.0,0.888,-70.0,0.8962818,-53.0,p15_r-15
0.6910198,-203.0,0.89447236,-63.0,0.63869864,-211.0,0.92190474,-41.0,1.0394973,22.0,0.86285716,-96.0,1.1465893,101.0,0.8928,-67.0,0.8982387,-52.0,p15_r-15
0.68797565,-205.0,0.8911223,-65.0,0.6369863,-212.0,0.92,-42.0,1.0394973,22.0,0.8642857,-95.0,1.1480407,102.0,0.888,-70.0,0.8982387,-52.0,p15_r-15
0.6818874,-209.0,0.8760469,-74.0,0.6318493,-215.0,0.92,-42.0,1.0341113,19.0,0.8657143,-94.0,1.1552975,107.0,0.8816,-74.0,0.8864971,-58.0,p15_r-15
0.67275494,-215.0,0.8760469,-74.0,0.6267123,-218.0,0.92,-42.0,1.0341113,19.0,0.8657143,-94.0,1.1523948,105.0,0.8816,-74.0,0.8864971,-58.0,p15_r-15
0.67275494,-215.0,0.8743719,-75.0,0.6267123,-218.0,0.92,-42.0,1.032316,18.0,0.8642857,-95.0,1.1509434,104.0,0.8784,-76.0,0.8864971,-58.0,p15_r-15
