SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
0.0019723866,-506.0,0.88188976,-75.0,0.5221113,-335.0,0.0,-699.0,0.8267327,-35.0,0.85509324,-101.0,1.3413174,171.0,0.57214767,-255.0,0.41904762,-366.0,p15_r-15
0.037475344,-488.0,0.88188976,-75.0,0.5221113,-335.0,0.0,-699.0,0.8267327,-35.0,0.85509324,-101.0,1.3393214,170.0,0.5704698,-256.0,0.41587302,-368.0,p15_r-15
0.0,-507.0,0.88188976,-75.0,0.5221113,-335.0,0.0,-699.0,0.8267327,-35.0,0.85509324,-101.0,1.3393214,170.0,0.5704698,-256.0,0.41428572,-369.0,p15_r-15
0.0,-507.0,0.88188976,-75.0,0.5221113,-335.0,0.0,-699.0,0.8267327,-35.0,0.85509324,-101.0,1.3393214,170.0,0.5704698,-256.0,0.41587302,-368.0,p15_r-15
0.06311637,-475.0,0.8850394,-73.0,0.5235378,-334.0,0.0,-699.0,0.84158415,-32.0,0.856528,-100.0,1.3413174,171.0,0.57214767,-255.0,0.41904762,-366.0,p15_r-15
0.03353057,-490.0,0.88661414,-72.0,0.5221113,-335.0,0.0,-699.0,0.8366337,-33.0,0.85509324,-101.0,1.3333334,167.0,0.56543624,-259.0,0.41269842,-370.0,p15_r-15
0.05719921,-478.0,0.88661414,-72.0,0.5221113,-335.0,0.0,-699.0,0.8366337,-33.0,0.85365856,-102.0,1.3313373,166.0,0.5604027,-262.0,0.41269842,-370.0,p15_r-15
0.0,-507.0,0.88661414,-72.0,0.5221113,-335.0,0.0,-699.0,0.8267327,-35.0,0.85365856,-102.0,1.3313373,166.0,0.5604027,-262.0,0.4063492,-374.0,p15_r-15
0.0,-507.0,0.8850394,-73.0,0.5192582,-337.0,0.0,-699.0,0.8366337,-33.0,0.85509324,-101.0,1.3333334,167.0,0.56543624,-259.0,0.41269842,-370.0,p15_r-15
0.0,-507.0,0.8850394,-73.0,0.5192582,-337.0,0.0,-699.0,0.8366337,-33.0,0.85509324,-101.0,1.3473054,174.0,0.5671141,-258.0,0.41269842,-370.0,p15_r-15
0.0,-507.0,0.88188976,-75.0,0.51355207,-341.0,0.0,-699.0,0.8267327,-35.0,0.85365856,-102.0,1.3493013,175.0,0.5704698,-256.0,0.4063492,-374.0,p15_r-15
0.0,-507.0,0.8771654,-78.0,0.51355207,-341.0,0.0,-699.0,0.8217822,-36.0,0.85365856,-102.0,1.3493013,175.0,0.5704698,-256.0,0.4047619,-375.0,p15_r-15
0.0,-507.0,0.8771654,-78.0,0.51355207,-341.0,0.0,-699.0,0.8217822,-36.0,0.8522238,-103.0,1.3473054,174.0,0.5671141,-258.0,0.4047619,-375.0,p15_r-15
0.039447732,-487.0,0.88188976,-75.0,0.51355207,-341.0,0.0,-699.0,0.8217822,-36.0,0.85365856,-102.0,1.3473054,174.0,0.5671141,-258.0,0.4047619,-375.0,p15_r-15
0.055226825,-479.0,0.8834646,-74.0,0.51355207,-341.0,0.0,-699.0,0.8217822,-36.0,0.85365856,-102.0,1.3473054,174.0,0.5671141,-258.0,0.4047619,-375.0,p15_r-15
0.07495069,-469.0,0.8834646,-74.0,0.51640517,-339.0,0.0,-699.0,0.8267327,-35.0,0.85365856,-102.0,1.3473054,174.0,0.5671141,-258.0,0.4047619,-375.0,p15_r-15
0.061143983,-476.0,0.8850394,-73.0,0.5178317,-338.0,0.0,-699.0,0.8267327,-35.0,0.85365856,-102.0,1.3473054,174.0,0.5671141,-258.0,0.4047619,-375.0,p15_r-15
