SG_E0,SG_D0,SG_E1,SG_D1,SG_E2,SG_D2,SG_E3,SG_D3,SG_E4,SG_D4,SG_E5,SG_D5,SG_E6,SG_D6,SG_E7,SG_D7,SG_E8,SG_D8,ID
1.2390438,120.0,0.7385496,-137.0,0.74437296,-159.0,1.1439842,73.0,1.3812261,199.0,0.919697,-53.0,0.6916836,-152.0,0.41442952,-349.0,0.6178451,-227.0,p15_r-15
1.2390438,120.0,0.740458,-136.0,0.7508039,-155.0,1.1439842,73.0,1.3812261,199.0,0.919697,-53.0,0.693712,-151.0,0.4161074,-348.0,0.6212121,-225.0,p15_r-15
1.2390438,120.0,0.74236643,-135.0,0.7700965,-143.0,1.1439842,73.0,1.3812261,199.0,0.919697,-53.0,0.69979715,-148.0,0.4261745,-342.0,0.62457913,-223.0,p15_r-15
1.2310756,116.0,0.7480916,-132.0,0.7749196,-140.0,1.1262327,64.0,1.3697318,193.0,0.9136364,-57.0,0.7058824,-145.0,0.4395973,-334.0,0.62457913,-223.0,p15_r-15
1.1613545,81.0,0.7652672,-123.0,0.7717042,-142.0,0.9980276,-1.0,1.2873564,150.0,0.8848485,-76.0,0.7261663,-135.0,0.48657718,-306.0,0.63131315,-219.0,p15_r-15
1.1613545,81.0,0.76717556,-122.0,0.7733119,-141.0,0.9980276,-1.0,1.2911878,152.0,0.8848485,-76.0,0.7261663,-135.0,0.48657718,-306.0,0.63131315,-219.0,p15_r-15
1.1553785,78.0,0.7652672,-123.0,0.7749196,-140.0,0.99013805,-5.0,1.2873564,150.0,0.8848485,-76.0,0.72008115,-138.0,0.48322147,-308.0,0.62794614,-221.0,p15_r-15
1.1513944,76.0,0.759542,-126.0,0.7717042,-142.0,0.974359,-13.0,1.2873564,150.0,0.8833333,-77.0,0.72008115,-138.0,0.48322147,-308.0,0.62794614,-221.0,p15_r-15
1.1454183,73.0,0.759542,-126.0,0.7620579,-148.0,0.96844184,-16.0,1.2796935,146.0,0.8787879,-80.0,0.72008115,-138.0,0.48322147,-308.0,0.62794614,-221.0,p15_r-15
1.1414343,71.0,0.7519084,-130.0,0.7508039,-155.0,0.9605523,-20.0,1.2758621,144.0,0.8787879,-80.0,0.72008115,-138.0,0.48322147,-308.0,0.62794614,-221.0,p15_r-15
1.1414343,71.0,0.7519084,-130.0,0.7395498,-162.0,0.9526627,-24.0,1.2720306,142.0,0.8787879,-80.0,0.72008115,-138.0,0.48322147,-308.0,0.62794614,-221.0,p15_r-15
1.121514,61.0,0.75,-131.0,0.77813506,-138.0,0.9802761,-10.0,1.2701149,141.0,0.8909091,-72.0,0.693712,-151.0,0.46644294,-318.0,0.6296296,-220.0,p15_r-15
1.121514,61.0,0.7538168,-129.0,0.77813506,-138.0,0.9802761,-10.0,1.2701149,141.0,0.8924242,-71.0,0.693712,-151.0,0.4748322,-313.0,0.63468015,-217.0,p15_r-15
1.121514,61.0,0.7557252,-128.0,0.77813506,-138.0,0.9802761,-10.0,1.2701149,141.0,0.8924242,-71.0,0.69776875,-149.0,0.4748322,-313.0,0.6363636,-216.0,p15_r-15
1.121514,61.0,0.7614504,-125.0,0.7797428,-137.0,0.9802761,-10.0,1.2701149,141.0,0.8924242,-71.0,0.69776875,-149.0,0.48489934,-307.0,0.6363636,-216.0,p15_r-15
1.1115538,56.0,0.7614504,-125.0,0.77813506,-138.0,0.9605523,-20.0,1.2586207,135.0,0.8909091,-72.0,0.70182556,-147.0,0.48825502,-305.0,0.63973063,-214.0,p15_r-15
1.1115538,56.0,0.7614504,-125.0,0.77813506,-138.0,0.9467456,-27.0,1.2490422,130.0,0.8893939,-73.0,0.69776875,-149.0,0.48825502,-305.0,0.63973063,-214.0,p15_r-15
1.1095618,55.0,0.7614504,-125.0,0.77813506,-138.0,0.94280076,-29.0,1.2471265,129.0,0.8893939,-73.0,0.69776875,-149.0,0.48825502,-305.0,0.63973063,-214.0,p15_r-15
1.1035856,52.0,0.7614504,-125.0,0.77813506,-138.0,0.9408284,-30.0,1.2471265,129.0,0.8893939,-73.0,0.69776875,-149.0,0.48825502,-305.0,0.63973063,-214.0,p15_r-15
1.1035856,52.0,0.7614504,-125.0,0.77813506,-138.0,0.938856,-31.0,1.2432951,127.0,0.8893939,-73.0,0.69776875,-149.0,0.48825502,-305.0,0.6363636,-216.0,p15_r-15
1.1035856,52.0,0.7633588,-124.0,0.7813505,-136.0,0.938856,-31.0,1.2432951,127.0,0.8893939,-73.0,0.70182556,-147.0,0.49496645,-301.0,0.63973063,-214.0,p15_r-15
1.1035856,52.0,0.76717556,-122.0,0.7845659,-134.0,0.938856,-31.0,1.2432951,127.0,0.8893939,-73.0,0.70182556,-147.0,0.4966443,-300.0,0.63973063,-214.0,p15_r-15
1.1035856,52.0,0.769084,-121.0,0.78617364,-133.0,0.938856,-31.0,1.2471265,129.0,0.8893939,-73.0,0.7079108,-144.0,0.5067114,-294.0,0.64141417,-213.0,p15_r-15
1.1035856,52.0,0.77290076,-119.0,0.78617364,-133.0,0.938856,-31.0,1.2471265,129.0,0.8893939,-73.0,0.71399593,-141.0,0.50838923,-293.0,0.6481481,-209.0,p15_r-15
1.0996016,50.0,0.769084,-121.0,0.78617364,-133.0,0.90335304,-49.0,1.2318008,121.0,0.8833333,-77.0,0.71399593,-141.0,0.51510066,-289.0,0.64983165,-208.0,p15_r-15
1.0976095,49.0,0.769084,-121.0,0.7813505,-136.0,0.8994083,-51.0,1.2260536,118.0,0.8818182,-78.0,0.71399593,-141.0,0.51510066,-289.0,0.64983165,-208.0,p15_r-15
